date_creation,fid,s109_5,s120_3,s3_5,year,quarter
2019-04-06,163381,0,0,0,2019,1
2019-04-25,164018,0,0,0,2019,1
2019-04-25,164420,0,524000,0,2019,1
2019-04-12,165704,0,0,0,2019,1
2019-04-17,167566,0,4647616,0,2019,1
2019-11-27,168291,0,0,0,2019,1
2019-04-11,168879,0,0,0,2019,1
2019-04-01,170027,0,0,0,2019,1
2019-04-29,170091,0,0,0,2019,1
2019-04-23,170143,0,18691,0,2019,1
2019-04-01,170153,0,0,0,2019,1
2019-04-04,172428,0,0,0,2019,1
2019-06-25,173050,0,1888488,0,2019,1
2019-04-11,173731,0,0,0,2019,1
2019-08-18,173845,0,5268520,0,2019,1
2019-04-23,175499,0,0,0,2019,1
2019-04-12,175760,0,0,0,2019,1
2019-04-20,178809,0,283879,0,2019,1
2019-04-18,186431,0,161227,0,2019,1
2019-04-24,189455,0,0,0,2019,1
2019-04-25,189675,0,1086773,0,2019,1
2019-04-30,197279,0,0,0,2019,1
2019-04-23,199016,0,29030,0,2019,1
2019-04-16,199306,0,0,0,2019,1
2019-04-08,199330,0,0,0,2019,1
2019-04-22,4500,0,26772,0,2019,1
2019-04-25,10219,0,310478,0,2019,1
2019-04-23,10977,0,0,0,2019,1
2019-04-15,12216,0,0,0,2019,1
2019-05-13,12961,0,0,0,2019,1
2019-04-25,14671,0,820685,0,2019,1
2019-04-17,15850,0,96942,0,2019,1
2019-04-19,19639,0,200721,0,2019,1
2019-04-16,30780,0,0,0,2019,1
2019-04-25,31998,0,0,0,2019,1
2019-05-20,38363,0,0,0,2019,1
2019-04-16,39335,0,1295,0,2019,1
2019-08-08,39668,0,4948463,0,2019,1
2019-04-29,41024,0,0,0,2019,1
2019-04-18,42111,0,0,0,2019,1
2019-04-15,50877,0,0,0,2019,1
2019-04-24,50904,0,680104,0,2019,1
2019-04-22,54071,0,0,0,2019,1
2019-04-26,54445,0,0,0,2019,1
2019-04-18,59796,0,0,0,2019,1
2019-04-25,61352,0,9470457,0,2019,1
2019-04-22,65446,0,1461303,0,2019,1
2019-04-03,66329,0,0,0,2019,1
2019-04-08,66700,0,0,0,2019,1
2019-05-30,74946,0,2977757,0,2019,1
2019-08-23,75407,0,912507,0,2019,1
2019-07-29,78592,0,3106254,0,2019,1
2019-04-08,78831,0,0,0,2019,1
2019-05-24,81846,0,230500,0,2019,1
2019-04-24,82253,0,7600,0,2019,1
2019-04-25,84488,0,614577,0,2019,1
2019-04-24,84818,0,644516,0,2019,1
2019-04-15,85850,0,3996535,0,2019,1
2019-04-22,90610,0,327038,0,2019,1
2019-04-18,91807,0,0,0,2019,1
2019-04-24,94592,0,0,0,2019,1
2019-04-24,98183,0,35118,0,2019,1
2019-04-18,101551,0,0,0,2019,1
2019-04-23,102357,0,0,0,2019,1
2019-04-25,103113,0,0,0,2019,1
2019-07-25,111153,0,23631325,0,2019,1
2019-04-04,113373,0,0,0,2019,1
2019-04-09,113902,0,0,0,2019,1
2019-04-22,116133,0,16948317,0,2019,1
2019-04-19,118458,0,54917,0,2019,1
2019-11-27,119247,0,670222,0,2019,1
2019-04-12,121848,0,0,0,2019,1
2019-06-11,122309,0,492013,0,2019,1
2019-04-08,122552,0,111103,0,2019,1
2019-04-23,123319,0,363547,0,2019,1
2019-04-12,127602,0,0,0,2019,1
2019-04-15,128773,0,0,0,2019,1
2019-04-17,129674,0,0,0,2019,1
2019-05-07,129994,0,0,0,2019,1
2019-04-25,135524,0,1507626,0,2019,1
2019-04-22,137837,0,0,0,2019,1
2019-07-24,146225,0,344227,0,2019,1
2019-04-05,147468,0,0,0,2019,1
2019-04-02,147642,0,0,0,2019,1
2019-04-01,148086,0,0,0,2019,1
2019-04-04,160886,0,0,0,2019,1
2019-04-04,162965,0,0,0,2019,1
2019-04-04,165203,0,0,0,2019,1
2019-04-25,170641,0,3731117,0,2019,1
2019-04-02,172648,0,0,0,2019,1
2019-06-01,178033,0,0,0,2019,1
2019-04-22,183698,0,8000,0,2019,1
2019-04-16,185479,0,27381,0,2019,1
2019-07-08,186378,0,2729081,0,2019,1
2019-07-22,186634,0,961484,0,2019,1
2019-04-24,187589,0,585454,0,2019,1
2019-04-04,188776,0,0,0,2019,1
2019-07-01,190837,0,262935,0,2019,1
2019-04-24,192520,0,583701,0,2019,1
2019-04-22,194527,0,0,0,2019,1
2019-04-24,195483,0,16456,0,2019,1
2019-04-25,199204,0,841834,0,2019,1
2019-04-24,7736,0,52369,0,2019,1
2019-04-25,14325,0,9465275,0,2019,1
2019-04-24,16258,0,1382718,0,2019,1
2019-07-11,17674,0,240980,0,2019,1
2019-04-22,23101,0,543473,0,2019,1
2019-04-12,26045,0,0,0,2019,1
2019-04-16,27820,0,5478,0,2019,1
2019-04-17,31617,0,0,0,2019,1
2019-04-10,46438,0,0,0,2019,1
2019-04-24,51807,0,0,0,2019,1
2019-04-12,54812,0,818948,0,2019,1
2019-04-15,56247,0,0,0,2019,1
2019-04-22,56898,0,0,0,2019,1
2019-06-10,57148,0,3326812,0,2019,1
2019-04-26,57441,0,0,0,2019,1
2021-04-23,61293,0,7601623,0,2019,1
2019-04-08,62977,0,0,0,2019,1
2019-04-13,67437,0,980982,0,2019,1
2019-04-15,67673,0,0,0,2019,1
2019-04-24,67742,0,218,0,2019,1
2019-04-15,72723,0,0,0,2019,1
2019-07-23,74987,0,0,0,2019,1
2019-04-16,79194,0,0,0,2019,1
2019-04-24,90816,0,130290,0,2019,1
2019-04-13,91676,0,0,0,2019,1
2019-04-19,97115,0,0,0,2019,1
2019-04-19,99144,0,0,0,2019,1
2019-10-28,102652,0,1666621,0,2019,1
2019-07-15,108600,0,233267,0,2019,1
2019-04-22,121032,0,11798,0,2019,1
2019-04-08,123904,0,0,0,2019,1
2019-06-06,124864,0,0,0,2019,1
2019-04-05,127151,0,0,0,2019,1
2019-04-09,127213,0,0,0,2019,1
2019-09-20,129069,0,0,0,2019,1
2019-04-15,129079,0,0,0,2019,1
2019-04-11,131156,0,0,0,2019,1
2019-07-24,131901,0,1536460,0,2019,1
2019-04-09,135086,0,0,0,2019,1
2019-04-15,135479,0,4783,0,2019,1
2019-04-18,136692,0,6308773,0,2019,1
2019-04-25,138800,0,6576939,0,2019,1
2019-05-23,140941,0,13458,0,2019,1
2019-04-24,141027,0,0,0,2019,1
2020-09-18,143101,0,3835426,0,2019,1
2019-04-02,147704,0,0,0,2019,1
2019-06-06,147960,0,752837,0,2019,1
2019-06-07,151485,0,1430367,0,2019,1
2019-04-19,152337,0,0,0,2019,1
2019-04-25,153362,0,172309,0,2019,1
2019-05-20,164211,0,69614,0,2019,1
2019-04-09,164622,0,0,0,2019,1
2019-04-22,167495,0,0,0,2019,1
2020-02-17,168826,0,222696480,0,2019,1
2019-04-16,172121,0,0,0,2019,1
2019-10-11,183283,0,25041,0,2019,1
2019-04-22,183308,0,355298,0,2019,1
2019-04-05,185299,0,0,0,2019,1
2019-04-23,186234,0,3456418,0,2019,1
2020-11-27,188891,0,0,0,2019,1
2019-07-10,199480,0,19689,0,2019,1
2019-04-25,2852,0,0,0,2019,1
2019-04-24,3424,0,17736,0,2019,1
2019-04-14,7747,0,0,0,2019,1
2019-04-25,9164,0,0,0,2019,1
2019-04-18,14153,0,28912,0,2019,1
2019-04-12,14554,0,0,0,2019,1
2019-04-25,16149,0,124288,0,2019,1
2019-04-01,16972,0,0,0,2019,1
