code_period,code_present_place,date_receipt,fid,s40,year,quarter
21,214,2019-04-22,77398,131832,2019,1
21,214,2019-04-23,78595,233040,2019,1
21,214,2019-04-16,89175,0,2019,1
21,214,2019-04-05,92654,0,2019,1
21,214,2019-04-23,92730,0,2019,1
21,214,2019-04-23,102394,0,2019,1
21,214,2019-10-29,119453,2009414,2019,1
21,214,2019-04-25,130981,3476,2019,1
21,214,2019-04-18,137942,0,2019,1
21,214,2019-04-05,138694,0,2019,1
21,214,2019-04-25,147588,566582,2019,1
21,214,2019-07-11,165181,0,2019,1
21,214,2020-02-19,166222,955653,2019,1
21,214,2019-08-01,167909,166390,2019,1
21,214,2019-04-23,177279,0,2019,1
21,214,2019-04-10,178068,0,2019,1
21,214,2019-04-17,178629,0,2019,1
21,214,2019-04-05,180827,0,2019,1
21,214,2019-04-08,182843,0,2019,1
21,214,2019-04-04,188625,0,2019,1
21,214,2019-04-29,199617,1831,2019,1
21,214,2019-04-16,199624,247395,2019,1
21,214,2019-04-25,11155,295696,2019,1
21,214,2019-04-15,36341,0,2019,1
21,214,2019-04-25,37018,230999,2019,1
21,214,2019-04-25,39686,3578,2019,1
21,214,2019-04-22,46785,4681102,2019,1
21,214,2019-04-15,50327,0,2019,1
21,214,2019-04-17,72933,0,2019,1
21,214,2019-04-24,73783,664745,2019,1
21,214,2019-04-25,79929,130457,2019,1
21,214,2019-04-18,80577,0,2019,1
21,214,2020-02-16,98843,2000,2019,1
21,214,2019-04-25,112391,18466,2019,1
21,214,2019-04-29,121251,0,2019,1
21,331,2019-04-08,122552,254997,2019,1
21,214,2019-08-02,124430,455677,2019,1
21,214,2019-04-11,130727,0,2019,1
21,214,2019-04-22,132696,3951,2019,1
21,214,2019-08-09,146822,0,2019,1
21,214,2019-04-23,147967,6176,2019,1
21,214,2019-04-23,158184,5,2019,1
21,214,2019-04-22,160579,0,2019,1
21,214,2020-04-20,166108,26499525,2019,1
21,214,2019-06-07,173586,1024441,2019,1
21,214,2019-04-23,175145,2560104,2019,1
21,214,2020-07-17,190515,0,2019,1
21,214,2019-04-25,193237,2125773,2019,1
21,214,2019-04-22,13071,97941,2019,1
21,214,2019-05-13,32240,3784421,2019,1
21,213,2020-02-07,46935,124421,2019,1
21,214,2019-04-14,47978,0,2019,1
21,214,2019-06-19,50394,166098,2019,1
21,214,2019-08-14,59126,17480,2019,1
21,214,2020-02-20,61436,21194610,2019,1
21,214,2019-04-24,61496,290513,2019,1
21,214,2019-04-16,65209,0,2019,1
21,214,2019-10-25,78056,0,2019,1
21,214,2019-04-25,80871,254,2019,1
21,214,2019-06-17,85850,56402,2019,1
21,214,2019-04-03,91569,0,2019,1
21,214,2019-04-19,91741,0,2019,1
21,214,2019-04-12,97792,9763,2019,1
21,214,2019-04-11,98824,0,2019,1
21,214,2019-04-15,100648,0,2019,1
21,214,2019-04-25,106276,0,2019,1
21,214,2019-04-18,107429,15664,2019,1
21,214,2019-04-23,123451,0,2019,1
21,214,2019-04-30,126089,0,2019,1
21,214,2020-08-27,130554,17804,2019,1
21,214,2019-04-16,130708,0,2019,1
21,214,2019-04-04,135002,0,2019,1
21,214,2019-04-18,143029,425553,2019,1
21,214,2019-04-29,145047,33820,2019,1
21,214,2019-04-04,150033,0,2019,1
21,214,2019-04-16,151432,0,2019,1
21,214,2019-04-25,163585,46671,2019,1
21,214,2019-04-11,175799,2685,2019,1
21,214,2019-04-25,177247,0,2019,1
21,214,2019-04-15,178078,0,2019,1
21,214,2019-04-16,183540,2896,2019,1
21,214,2019-04-15,190200,1130,2019,1
21,214,2019-04-04,198977,0,2019,1
21,214,2020-07-08,9410,66847,2019,1
21,214,2019-04-24,13119,0,2019,1
21,214,2019-04-22,20007,0,2019,1
21,214,2019-04-22,22892,0,2019,1
21,214,2019-04-09,23195,0,2019,1
21,214,2019-04-19,24368,0,2019,1
21,214,2019-04-15,40896,0,2019,1
21,214,2019-04-11,41157,0,2019,1
21,214,2019-04-25,41633,187668,2019,1
21,214,2019-04-15,50298,0,2019,1
21,214,2019-04-04,58441,0,2019,1
21,214,2019-04-16,67619,0,2019,1
21,214,2019-04-25,69257,138301,2019,1
21,214,2019-04-23,73102,0,2019,1
21,214,2019-04-16,85217,0,2019,1
21,214,2019-07-30,91427,188645,2019,1
